Date,Year,Month,Day,Shift,TACC Sorties,High Priority Sorties,Flying Hours,Cargo (Stons),Passengers
5/5/13,2013,5,5,Day,,,,,
5/5/13,2013,5,5,Swings,,,,,
5/5/13,2013,5,5,Mids,,,,,
5/6/13,2013,5,6,Day,,,,,
5/6/13,2013,5,6,Swings,,,,,
5/6/13,2013,5,6,Mids,,,,,
5/7/13,2013,5,7,Day,,,,,
5/7/13,2013,5,7,Swings,,,,,
5/7/13,2013,5,7,Mids,,,,,
5/8/13,2013,5,8,Day,,,,,
5/8/13,2013,5,8,Swings,,,,,
5/8/13,2013,5,8,Mids,,,,,
5/9/13,2013,5,9,Day,,,,,
5/9/13,2013,5,9,Swings,,,,,
5/9/13,2013,5,9,Mids,,,,,
5/10/13,2013,5,10,Day,,,,,
5/10/13,2013,5,10,Swings,,,,,
5/10/13,2013,5,10,Mids,,,,,
5/11/13,2013,5,11,Day,,,,,
5/11/13,2013,5,11,Swings,,,,,
5/11/13,2013,5,11,Mids,,,,,
5/12/13,2013,5,12,Day,,,,,
5/12/13,2013,5,12,Swings,,,,,
5/12/13,2013,5,12,Mids,,,,,
5/13/13,2013,5,13,Day,,,,,
5/13/13,2013,5,13,Swings,,,,,
5/13/13,2013,5,13,Mids,,,,,
5/14/13,2013,5,14,Day,,,,,
5/14/13,2013,5,14,Swings,,,,,
5/14/13,2013,5,14,Mids,,,,,
5/15/13,2013,5,15,Day,,,,,
5/15/13,2013,5,15,Swings,,,,,
5/15/13,2013,5,15,Mids,,,,,
5/16/13,2013,5,16,Day,,,,,
5/16/13,2013,5,16,Swings,,,,,
5/16/13,2013,5,16,Mids,,,,,
5/17/13,2013,5,17,Day,,,,,
5/17/13,2013,5,17,Swings,,,,,
5/17/13,2013,5,17,Mids,,,,,
5/18/13,2013,5,18,Day,,,,,
5/18/13,2013,5,18,Swings,,,,,
5/18/13,2013,5,18,Mids,,,,,
5/19/13,2013,5,19,Day,,,,,
5/19/13,2013,5,19,Swings,,,,,
5/19/13,2013,5,19,Mids,,,,,
5/20/13,2013,5,20,Day,,,,,
5/20/13,2013,5,20,Swings,,,,,
5/20/13,2013,5,20,Mids,,,,,
5/21/13,2013,5,21,Day,,,,,
5/21/13,2013,5,21,Swings,,,,,
5/21/13,2013,5,21,Mids,,,,,
5/22/13,2013,5,22,Day,,,,,
5/22/13,2013,5,22,Swings,,,,,
5/22/13,2013,5,22,Mids,,,,,
5/23/13,2013,5,23,Day,,,,,
